"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1995","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","24000","B","","","0"
"1996","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","24700","A","","","0"
"1997","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","25400","A","","","0"
"1998","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","25600","B","","","0"
"1999","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","26500","A","","","0"
"2000","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","27100","B","","","0"
"2001","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","27400","A","","","0"
"2002","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","26700","A","","","0"
"2003","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","26400","A","","","0"
"2004","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","26200","A","","","0"
"2005","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","26500","A","","","0"
"2006","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","27500","B","","","0"
"2007","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","28400","B","","","0"
"2008","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","28800","A","","","0"
"2009","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","29500","A","","","0"
"2010","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","29900","A","","","0"
"2011","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","30800","B","","","0"
"2012","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","31100","B","","","0"
"2013","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","32000","A","","","0"
"2014","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","31600","A","","","0"
"2015","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","31400","A","","","0"
"2016","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","31400","A","","","0"
"2017","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","31300","A","","","0"
"2018","Nova Scotia","2016A000212","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107668068","5.1.1.3.5","32200","A","","","0"
"1976","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","27900","","","","0"
"1977","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","29000","","","","0"
"1978","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","25500","","","","0"
"1979","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","26800","","","","0"
"1980","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","25900","","","","0"
"1981","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","24100","","","","0"
"1982","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","23700","","","","0"
"1983","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","20700","","","","0"
"1984","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","24200","","","","0"
"1985","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","25000","","","","0"
"1986","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","25000","","","","0"
"1987","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","23500","","","","0"
"1988","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","23200","","","","0"
"1989","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","25000","","","","0"
"1990","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","24700","","","","0"
"1991","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","22300","","","","0"
"1992","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","22400","","","","0"
"1993","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","22400","A","","","0"
"1994","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","23300","A","","","0"
"1995","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","23300","A","","","0"
"1996","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","22800","A","","","0"
"1997","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","23600","A","","","0"
"1998","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","24200","A","","","0"
"1999","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","25100","A","","","0"
"2000","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","24500","A","","","0"
"2001","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","24800","A","","","0"
"2002","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","24600","A","","","0"
"2003","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","25200","A","","","0"
"2004","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","24800","A","","","0"
"2005","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","25100","A","","","0"
"2006","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","25800","A","","","0"
"2007","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","27100","A","","","0"
"2008","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","28600","A","","","0"
"2009","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","28000","A","","","0"
"2010","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","28400","A","","","0"
"2011","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","29400","A","","","0"
"2012","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","29800","A","","","0"
"2013","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","30100","A","","","0"
"2014","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","30900","A","","","0"
"2015","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","31200","A","","","0"
"2016","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","30400","A","","","0"
"2017","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","31200","A","","","0"
"2018","New Brunswick","2016A000213","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107669868","6.1.1.3.5","32000","A","","","0"
"1976","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","35100","","","","0"
"1977","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","35500","","","","0"
"1978","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","36300","","","","0"
"1979","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","35200","","","","0"
"1980","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","34600","","","","0"
"1981","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","33700","","","","0"
"1982","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","31600","","","","0"
"1983","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30500","","","","0"
"1984","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30800","","","","0"
"1985","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","31700","","","","0"
"1986","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","32200","","","","0"
"1987","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","31700","","","","0"
"1988","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","31500","","","","0"
"1989","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","33000","","","","0"
"1990","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30600","","","","0"
"1991","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30200","","","","0"
"1992","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","29300","","","","0"
"1993","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","29600","A","","","0"
"1994","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30400","A","","","0"
"1995","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30500","A","","","0"
"1996","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30000","A","","","0"
"1997","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","29500","A","","","0"
"1998","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30200","A","","","0"
"1999","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30700","A","","","0"
"2000","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30800","A","","","0"
"2001","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30000","A","","","0"
"2002","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30700","A","","","0"
"2003","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30400","A","","","0"
"2004","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30600","A","","","0"
"2005","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30600","A","","","0"
"2006","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30200","A","","","0"
"2007","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","30500","A","","","0"
"2008","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","31000","A","","","0"
"2009","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","31500","A","","","0"
"2010","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","31500","A","","","0"
"2011","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","31800","A","","","0"
"2012","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","32100","A","","","0"
"2013","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","32200","A","","","0"
"2014","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","33000","A","","","0"
"2015","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","32500","A","","","0"
"2016","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","33000","A","","","0"
"2017","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","32900","A","","","0"
"2018","Quebec","2016A000224","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107671668","7.1.1.3.5","33600","A","","","0"
"1976","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","38600","","","","0"
"1977","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","37700","","","","0"
"1978","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36300","","","","0"
"1979","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36200","","","","0"
"1980","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35700","","","","0"
"1981","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35000","","","","0"
"1982","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","32700","","","","0"
"1983","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","32100","","","","0"
"1984","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","33100","","","","0"
"1985","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","33900","","","","0"
"1986","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36600","","","","0"
"1987","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","37000","","","","0"
"1988","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","38200","","","","0"
"1989","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","38400","","","","0"
"1990","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35700","","","","0"
"1991","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35200","","","","0"
"1992","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","34500","","","","0"
"1993","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","34300","A","","","0"
"1994","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35400","A","","","0"
"1995","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35800","A","","","0"
"1996","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35000","A","","","0"
"1997","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35400","A","","","0"
"1998","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36000","A","","","0"
"1999","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36400","A","","","0"
"2000","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","37000","A","","","0"
"2001","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36100","A","","","0"
"2002","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36400","A","","","0"
"2003","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35300","A","","","0"
"2004","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","34100","A","","","0"
"2005","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36100","A","","","0"
"2006","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35500","A","","","0"
"2007","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","34700","A","","","0"
"2008","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36200","A","","","0"
"2009","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","34600","A","","","0"
"2010","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","34200","A","","","0"
"2011","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","33900","A","","","0"
"2012","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","34300","A","","","0"
"2013","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","34300","A","","","0"
"2014","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35200","A","","","0"
"2015","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35500","A","","","0"
"2016","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35300","A","","","0"
"2017","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","35600","A","","","0"
"2018","Ontario","2016A000235","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107673468","8.1.1.3.5","36400","A","","","0"
"1976","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","30100","","","","0"
"1977","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","31300","","","","0"
"1978","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","31400","","","","0"
"1979","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","33300","","","","0"
"1980","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","30900","","","","0"
"1981","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","29600","","","","0"
"1982","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","28400","","","","0"
"1983","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","28000","","","","0"
"1984","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","30100","","","","0"
"1985","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","28500","","","","0"
"1986","Manitoba","2016A000246","16 years and over","Both sexes","Employment income","Median income (excluding zeros)","2018 constant dollars","400","units","0","v107677068","10.1.1.3.5","29700","","","","0"
